pool_rank,trade_date,symbol,name,close,price_factor_score,action,target_weight,recommendation_tier,confidence,model_version,risk_flags,reason,review_required,amount,amount_yi,pct_change,intraday_position_pct,amplitude_pct_display,gap_pct_display,alpha_score,liquidity_capacity_score,risk_control_score,crowding_penalty,momentum_score,liquidity_score,capacity_score,close_position_score,stability_score,tradability_score,reversal_risk_score,board,source_time
1,2026-06-14,601688,华泰证券,19.97,85.22,buy,0.05,high_conviction,high,institutional_score_v3,,机构评分 85.2；Alpha 76.3 / 流动性 95.7 / 风控 88.8；涨跌幅 3.52%；成交额 46.26亿；日内收盘位置 90%；振幅 5.03%；拥挤扣分 0.1；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,4626352326.0,46.26,3.525,89.7,5.03,-0.1,76.26,95.69,88.84,0.11310617842499915,0.5611111111111111,0.9337142857142857,1.0,0.8969072164948437,0.7338408228970567,1.0,0.9793814432989687,main,15:00:03
2,2026-06-14,300661,圣邦股份,111.44,84.38,buy,0.05,high_conviction,high,institutional_score_v3,,机构评分 84.4；Alpha 86.0 / 流动性 92.5 / 风控 84.7；涨跌幅 5.91%；成交额 34.40亿；日内收盘位置 100%；振幅 6.10%；拥挤扣分 2.9；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,3440103395.0,34.4,5.911,100.0,6.1,2.64,85.99,92.55,84.65,2.8822726408736705,0.9021428571428572,0.8954285714285715,0.9812823109375,1.0,0.6208945667723765,1.0,0.9923873788253182,chinext,15:35:45
3,2026-06-14,000776,广发证券,20.08,84.12,buy,0.05,high_conviction,high,institutional_score_v3,,机构评分 84.1；Alpha 87.9 / 流动性 78.8 / 风控 83.5；涨跌幅 4.86%；成交额 24.89亿；日内收盘位置 84%；振幅 6.16%；拥挤扣分 0.0；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,2488955285.0,24.89,4.856,83.9,6.16,0.0,87.92,78.8,83.47,0.0,0.8568888888888888,0.844,0.6840485265625,0.8389830508474565,0.6145389583619625,1.0,0.9556556180023895,main,15:00:00
4,2026-06-14,300657,弘信电子,46.9,83.86,buy,0.05,high_conviction,high,institutional_score_v3,,机构评分 83.9；Alpha 80.6 / 流动性 94.1 / 风控 86.0；涨跌幅 6.57%；成交额 37.72亿；日内收盘位置 96%；振幅 5.77%；拥挤扣分 2.0；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,3771737707.0,37.72,6.567,96.1,5.77,1.82,80.58,94.13,86.03,1.983020387928383,0.7459523809523809,0.9097142857142857,1.0,0.9606299212598419,0.6556404644877363,1.0,0.9921259842519684,chinext,15:35:45
5,2026-06-14,300014,亿纬锂能,57.67,83.77,buy,0.05,high_conviction,high,institutional_score_v3,,机构评分 83.8；Alpha 78.8 / 流动性 95.1 / 风控 83.6；涨跌幅 4.66%；成交额 42.50亿；日内收盘位置 71%；振幅 6.04%；拥挤扣分 0.8；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,4250386244.0,42.5,4.664,71.2,6.04,0.74,78.84,95.1,83.56,0.8117472364296257,0.8142222222222222,0.9245714285714286,1.0,0.7117117117117119,0.6269939822332591,1.0,0.9390755546835394,chinext,15:35:15
6,2026-06-14,601628,中国人寿,35.81,82.18,buy,0.05,high_conviction,high,institutional_score_v3,,机构评分 82.2；Alpha 82.0 / 流动性 84.7 / 风控 83.6；涨跌幅 4.31%；成交额 28.81亿；日内收盘位置 92%；振幅 6.20%；拥挤扣分 1.0；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,2881117234.0,28.81,4.311,92.5,6.2,-0.96,81.99,84.73,83.64,1.0486454995630603,0.7357777777777778,0.8691428571428571,0.806599135625,0.9248826291079827,0.6100541186931806,1.0,0.9696400853904876,main,15:00:01
7,2026-06-14,002428,云南锗业,92.26,82.04,buy,0.05,high_conviction,high,institutional_score_v3,,机构评分 82.0；Alpha 79.2 / 流动性 99.1 / 风控 76.8；涨跌幅 4.56%；成交额 118.55亿；日内收盘位置 82%；振幅 7.24%；拥挤扣分 1.6；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,11855041837.0,118.55,4.556,82.3,7.24,1.43,79.18,99.07,76.82,1.5577351026127109,0.7902222222222223,0.9857142857142858,1.0,0.8231611893583732,0.5008827599370138,1.0,0.871511204326797,main,15:00:00
8,2026-06-14,600030,中信证券,26.29,83.64,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 83.6；Alpha 70.0 / 流动性 97.5 / 风控 91.0；涨跌幅 3.06%；成交额 70.28亿；日内收盘位置 86%；振幅 4.47%；拥挤扣分 0.2；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,7027638104.0,70.28,3.058,86.0,4.47,0.2,69.95,97.51,91.01,0.21381989237731447,0.4573333333333333,0.9617142857142857,1.0,0.8596491228070174,0.7927541315067361,1.0,0.9719298245614035,main,15:00:03
9,2026-06-14,603259,药明康德,99.71,82.45,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 82.5；Alpha 69.2 / 流动性 97.1 / 风控 89.5；涨跌幅 2.72%；成交额 60.18亿；日内收盘位置 96%；振幅 4.96%；拥挤扣分 0.5；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,6018412066.0,60.18,2.72,96.0,4.96,0.44,69.21,97.07,89.46,0.48325013813837514,0.38222222222222224,0.9548571428571428,1.0,0.960498960498958,0.7415592654243002,1.0,0.9920997920997916,main,15:00:03
10,2026-06-14,300059,东方财富,18.0,82.28,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 82.3；Alpha 69.8 / 流动性 98.1 / 风控 88.3；涨跌幅 3.69%；成交额 84.77亿；日内收盘位置 73%；振幅 4.95%；拥挤扣分 0.8；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,8477080469.0,84.77,3.687,73.3,4.95,0.75,69.79,98.14,88.33,0.8169250104733989,0.597111111111111,0.9714285714285714,1.0,0.732558139534883,0.7416929420325009,1.0,0.9465116279069766,chinext,15:35:45
11,2026-06-14,000792,盐湖股份,31.7,82.07,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 82.1；Alpha 75.8 / 流动性 96.1 / 风控 80.8；涨跌幅 4.24%；成交额 48.99亿；日内收盘位置 72%；振幅 6.51%；拥挤扣分 0.6；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,4899139683.0,48.99,4.242,72.2,6.51,0.53,75.78,96.06,80.76,0.573973872231015,0.7204444444444444,0.9394285714285714,1.0,0.7222222222222219,0.5777877775662437,1.0,0.906118235960393,main,15:00:00
12,2026-06-14,601211,国泰海通,17.68,82.04,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 82.0；Alpha 68.4 / 流动性 93.6 / 风控 90.8；涨跌幅 2.67%；成交额 35.34亿；日内收盘位置 91%；振幅 4.59%；拥挤扣分 0.1；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,3534033365.0,35.34,2.671,91.1,4.59,-0.06,68.4,93.57,90.77,0.06335128286346547,0.3713333333333333,0.9011428571428571,1.0,0.9113924050632907,0.7802432911547166,1.0,0.9822784810126581,main,15:00:01
13,2026-06-14,600276,恒瑞医药,48.49,81.51,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 81.5；Alpha 68.7 / 流动性 96.0 / 风控 88.1；涨跌幅 3.21%；成交额 48.25亿；日内收盘位置 81%；振幅 5.09%；拥挤扣分 0.5；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,4824609044.0,48.25,3.214,80.8,5.09,0.47,68.7,95.99,88.14,0.5108556832694997,0.492,0.9382857142857143,1.0,0.8075313807531378,0.7276556653447155,1.0,0.9615062761506276,main,15:00:03
14,2026-06-14,001203,大中矿业,43.11,81.43,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 81.4；Alpha 90.9 / 流动性 67.0 / 风控 81.4；涨跌幅 4.92%；成交额 18.33亿；日内收盘位置 93%；振幅 6.57%；拥挤扣分 0.2；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,1832815792.0,18.33,4.916,93.0,6.57,-0.22,90.9,67.02,81.44,0.23894333945442692,0.8702222222222223,0.7731428571428571,0.47900493499999997,0.9296296296296304,0.5714798068424907,1.0,0.9431052883012007,main,15:00:00
15,2026-06-14,002171,楚江新材,13.59,80.95,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 81.0；Alpha 88.5 / 流动性 74.2 / 风控 82.3；涨跌幅 5.51%；成交额 22.32亿；日内收盘位置 85%；振幅 6.37%；拥挤扣分 1.9；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,2231944479.0,22.32,5.512,85.4,6.37,1.71,88.54,74.21,82.3,1.863354037267075,0.9971428571428572,0.8165714285714286,0.6037326496875,0.8536585365853647,0.5930042497548216,1.0,0.9432472352673833,main,15:00:00
16,2026-06-14,600028,中国石化,4.94,80.17,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 80.2；Alpha 73.0 / 流动性 77.1 / 风控 93.6；涨跌幅 3.13%；成交额 23.85亿；日内收盘位置 95%；振幅 3.97%；拥挤扣分 0.5；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,2385149966.0,23.85,3.132,94.7,3.97,-0.42,72.96,77.07,93.56,0.45549440121466045,0.4737777777777778,0.8348571428571429,0.651609364375,0.9473684210526329,0.8456213602900772,1.0,0.9894736842105266,main,15:00:03
17,2026-06-14,603026,石大胜华,86.35,79.63,buy,0.035,core_candidate,medium,institutional_score_v3,,机构评分 79.6；Alpha 93.4 / 流动性 63.4 / 风控 75.2；涨跌幅 5.46%；成交额 16.52亿；日内收盘位置 84%；振幅 7.52%；拥挤扣分 0.2；核心候选，入选原因是强势确认、资金容量、交易可行性和追高风险综合评估,True,1652224076.0,16.52,5.459,83.9,7.52,0.15,93.43,63.41,75.19,0.1598792023804385,0.9908888888888888,0.748,0.42257002374999997,0.8392857142857127,0.4712416116010598,1.0,0.8536167911228976,main,15:00:03
